country,mig_ext_medio_group/1,mig_ext_medio_group/2,mig_ext_medio_group/3,mig_ext_cost_total,mig_ext_cost_currency
GT,0,1,0,9750,3
GT,0,1,0,3250,3
GT,0,1,0,2340,3
GT,0,1,0,,
GT,0,1,0,7800,3
GT,0,1,0,11700,3
GT,0,1,0,,
GT,0,1,0,,
GT,0,1,0,,
GT,0,1,0,,
GT,0,1,0,,
GT,0,1,0,1040,3
GT,0,1,0,1040,3
GT,1,0,0,,
GT,0,1,0,6500,3
HND,0,1,0,4100,2
HND,0,1,0,4100,2
HND,0,1,0,8000,1
HND,0,1,0,,
HND,1,0,0,,
HND,1,1,0,,
HND,1,0,0,,
HND,0,1,1,,
GT,0,1,0,2600,3
GT,0,1,0,14950,3
GT,0,1,0,7800,3
GT,0,1,0,16900,3
GT,0,1,0,10400,3
GT,0,1,0,11700,3
GT,0,1,0,780,3
GT,0,1,0,,
HND,1,0,0,2460,2
GT,0,1,0,,
GT,0,1,0,7800,3
GT,0,1,0,,
GT,0,1,0,,
GT,0,1,0,3250,3
GT,0,1,0,3250,3
HND,0,0,1,,
HND,1,0,0,2460,2
HND,0,1,1,3000,1
HND,0,1,0,3000,1
HND,1,0,0,,
HND,0,1,0,,
HND,0,1,0,,
HND,1,0,0,,
HND,0,1,0,,
HND,1,0,0,9020,2
GT,0,1,0,13000,3
GT,0,1,0,11700,3
GT,0,1,0,11700,3
GT,0,1,0,10400,3
GT,0,1,0,14391,3
GT,1,0,0,455,3
GT,1,0,0,455,3
GT,1,0,0,455,3
GT,0,0,0,,
GT,0,0,0,,
GT,0,0,0,,
GT,0,0,1,1300,3
GT,0,0,1,1300,3
GT,0,0,1,6500,3
HND,0,1,0,13000,1
HND,0,0,1,,
GT,0,1,0,5980,3
GT,0,1,0,2860,3
GT,0,1,0,2860,3
GT,0,0,1,7670,3
HND,0,0,0,,
HND,0,1,0,5000,1
HND,0,1,0,,
SLV,0,1,0,5000,1
SLV,0,1,0,,
SLV,0,1,0,,
SLV,0,1,0,4000,1
SLV,0,1,0,4000,1
SLV,0,1,0,6000,1
SLV,0,1,0,6000,1
SLV,0,1,0,,1
SLV,0,1,0,,1
SLV,0,1,0,13000,1
SLV,0,1,0,,
SLV,0,1,0,,
SLV,0,1,0,,
SLV,0,1,0,,
SLV,0,1,0,,
SLV,0,1,0,,
SLV,0,0,1,,
SLV,0,0,1,,
SLV,0,1,1,9000,1
SLV,0,1,0,3000,1
SLV,0,1,0,,
SLV,0,1,0,,1
SLV,0,1,0,,
SLV,0,1,0,7000,1
SLV,1,0,0,800,1
SLV,0,1,0,2500,1
SLV,1,0,0,1300,1
SLV,0,1,0,,
SLV,0,1,0,6000,1
SLV,0,1,0,10000,1
SLV,0,1,0,8000,1
SLV,0,1,0,2700,
SLV,0,1,0,2700,
SLV,0,1,0,2700,1
SLV,0,1,0,2700,1
SLV,0,1,0,,
SLV,1,1,0,12000,1
SLV,1,1,0,6000,1
SLV,0,1,0,8000,1
SLV,0,1,0,1500,1
SLV,1,0,0,,
SLV,1,0,0,3500,1
SLV,1,0,0,675,1
SLV,0,1,0,4500,1
SLV,0,0,1,7000,1
SLV,0,1,0,,
SLV,0,1,0,6000,1
SLV,0,1,0,,
SLV,1,1,0,6000,1
SLV,0,1,0,3000,1
SLV,0,1,0,6000,1
SLV,0,1,0,,
SLV,1,0,0,,
SLV,0,1,0,9000,1
SLV,0,1,0,,
SLV,0,1,0,5000,1
SLV,0,1,0,5000,1
SLV,0,1,0,2000,1
SLV,0,1,0,,
SLV,0,1,0,6600,1
SLV,0,0,1,300,1
SLV,0,1,0,7000,1
SLV,0,0,1,,
HND,0,1,0,11000,1
SLV,0,1,0,,
SLV,0,1,0,,
SLV,0,1,0,,
SLV,0,1,0,,
SLV,0,1,0,3000,1
SLV,0,1,0,5500,1
SLV,0,0,1,,
SLV,0,1,0,5000,1
SLV,0,1,0,,
SLV,0,1,0,7000,1
SLV,0,1,0,6000,1
SLV,0,1,0,4500,1
SLV,0,1,0,13000,1
SLV,0,1,0,,
HND,0,1,0,10500,1
SLV,0,1,0,7000,1
SLV,0,1,0,7000,1
SLV,0,0,1,1300,1
SLV,1,0,0,1800,1
SLV,0,1,0,,
SLV,0,1,0,,
HND,0,0,1,,
HND,0,0,1,,
HND,0,0,1,,
GT,0,1,0,3250,3
GT,0,1,0,3250,3
GT,0,1,0,3900,3
GT,0,1,0,,
HND,1,0,0,,
HND,0,0,1,,
HND,0,0,1,1681,2
HND,0,0,1,2500,1
HND,0,0,1,2500,1
HND,0,0,1,2500,1
GT,0,1,0,,
GT,0,1,0,13,3
SLV,0,1,0,10000,1
SLV,0,1,0,7000,1
HND,0,0,1,,
SLV,1,0,0,,
SLV,0,1,0,,
HND,0,1,0,8000,1
HND,0,1,0,8000,1
SLV,0,1,0,,
SLV,0,1,0,15000,1
GT,0,1,0,3250,3
HND,0,0,1,,
HND,0,0,1,,
GT,0,1,0,10400,3
GT,0,1,0,2600,3
GT,0,1,0,,
GT,0,0,0,,
HND,1,0,0,820,2
GT,0,1,0,,
GT,0,1,0,12350,3
GT,0,1,0,10400,3
HND,0,1,0,,
GT,1,0,0,,
GT,1,0,0,,
HND,1,0,0,,
GT,0,1,0,,
GT,0,1,0,1300,3
GT,0,1,0,,
GT,0,0,0,,
GT,0,1,0,9100,3
GT,0,1,0,9750,3
GT,0,0,1,1300,3
GT,1,0,0,650,3
GT,0,1,0,5.85,3
GT,0,1,0,15600,3
GT,0,1,0,,
GT,0,1,0,,
HND,0,0,1,8000,1
HND,0,1,0,1230,2
HND,0,1,0,1230,2
GT,0,1,0,9100,3
GT,0,1,0,1950,3
HND,0,0,1,,
HND,1,0,0,,
GT,0,1,0,11310,3
GT,0,1,0,2990,3
GT,0,1,0,2990,3
GT,0,1,0,,
GT,0,0,0,,
HND,1,0,0,,
HND,0,1,0,,
HND,0,1,0,,
HND,0,1,0,,
HND,0,1,0,,
HND,0,1,0,,
HND,0,1,0,,
SLV,0,1,0,,
SLV,0,1,0,1500,1
SLV,0,1,0,5600,1
SLV,0,1,0,5000,1
SLV,0,1,0,,
SLV,1,0,0,,
SLV,0,1,0,10000,1
SLV,0,1,0,,
SLV,0,1,0,,
SLV,1,0,0,9000,1
SLV,1,0,0,,
SLV,0,0,1,,
SLV,0,0,1,,
SLV,0,1,0,,
SLV,0,1,0,3000,1
SLV,0,1,0,3000,1
SLV,0,1,0,5000,1
SLV,0,1,0,5000,1
SLV,0,1,0,6000,1
SLV,0,0,0,,
SLV,0,1,0,7000,1
SLV,0,1,0,7000,1
SLV,0,0,1,,
SLV,0,1,0,,
SLV,0,1,0,,
SLV,1,0,0,,
SLV,0,1,0,10500,1
SLV,1,0,0,,
SLV,0,1,0,9000,1
SLV,0,1,0,,
SLV,0,0,1,,
SLV,0,1,0,1500,1
SLV,0,1,0,15000,1
SLV,0,1,0,15000,1
SLV,1,0,0,,
SLV,1,0,1,,
SLV,1,0,1,,
SLV,1,0,0,,
SLV,0,1,0,3000,1
SLV,1,0,0,1800,1
SLV,0,1,0,11000,1
SLV,0,1,0,,
SLV,1,0,0,2500,1
SLV,1,0,0,2500,1
SLV,1,0,0,2500,1
SLV,1,0,0,2500,1
SLV,0,1,0,8000,1
SLV,0,1,0,9000,1
SLV,0,1,0,8000,1
SLV,0,1,0,4000,1
SLV,0,1,0,4000,1
SLV,0,1,0,4000,1
SLV,0,1,0,4000,1
SLV,0,1,0,8000,1
