country,mig_ext_medio_group/1,mig_ext_medio_group/2,mig_ext_medio_group/3,mig_ext_cost_total,mig_ext_cost_currency
HND,0,0,1,143.5,2
HND,0,1,0,2050,2
HND,0,0,1,287,2
HND,0,0,1,328,2
GT,0,1,0,14950,3
GT,0,1,0,14300,3
GT,0,1,0,,
GT,0,1,0,,
GT,0,1,0,3900,3
GT,0,1,0,3900,3
GT,0,1,0,,
HND,1,0,0,,
HND,1,0,0,,
HND,1,0,0,,
HND,0,0,1,,
GT,1,0,0,19.5,3
GT,1,0,0,19.5,3
GT,0,1,0,,
HND,0,0,1,,
HND,0,0,1,,
HND,0,0,0,,
HND,0,0,1,,
HND,0,0,1,,
HND,1,0,0,,
HND,1,0,0,,
HND,1,0,0,,
HND,0,0,1,2050,2
HND,1,0,0,,
GT,0,1,0,11050,3
GT,0,1,0,11700,3
HND,0,1,0,,
HND,1,0,0,1496.5,2
HND,0,0,1,82,2
HND,0,0,1,82,2
GT,0,1,0,10400,3
GT,0,1,0,,
GT,0,0,1,,
GT,0,1,0,,
HND,0,0,1,,
GT,0,1,0,,
GT,0,1,0,,
HND,0,0,1,205,2
HND,0,1,0,410,2
GT,0,1,0,,
GT,0,1,0,,
GT,0,1,0,6500,3
GT,0,1,0,15.6,3
HND,1,0,0,,
HND,1,0,0,615,2
HND,1,0,0,820,2
HND,1,0,0,,
GT,0,1,0,8000,1
HND,0,0,1,,
HND,0,0,1,,
HND,0,1,0,,
HND,0,1,0,5000,1
GT,1,0,0,,
GT,1,0,0,,
GT,0,1,0,4550,3
GT,0,1,0,7800,3
GT,0,1,0,16250,3
HND,0,0,1,,
HND,0,0,0,7000,1
GT,0,1,0,7800,3
HND,1,0,0,15000,1
HND,1,0,0,,
HND,1,0,0,15000,1
HND,0,1,0,,
HND,0,1,0,1435,2
HND,0,0,1,,
HND,0,0,1,,
HND,0,0,1,,
SLV,0,1,0,,
SLV,0,0,1,7000,1
SLV,0,1,0,6000,1
SLV,0,1,0,,
SLV,0,1,0,6000,1
SLV,0,1,0,9000,1
SLV,0,1,0,10000,1
SLV,0,0,1,,
GT,0,1,0,,
GT,0,1,0,,
GT,0,1,0,202.15,3
GT,1,0,0,5850,3
GT,0,0,1,,
GT,1,0,0,39,3
GT,1,0,0,39,3
GT,1,0,0,39,3
GT,1,0,0,39,3
SLV,1,0,0,,
SLV,0,0,1,3000,1
SLV,0,1,0,8000,1
SLV,0,1,0,12000,1
SLV,0,1,0,10000,1
SLV,0,0,1,300,1
SLV,0,1,0,8000,1
HND,0,1,0,6000,1
HND,0,1,0,8000,1
HND,0,0,1,,
HND,0,0,1,,
HND,0,0,1,,
HND,0,0,1,,
HND,0,0,1,,
SLV,0,1,0,5000,1
SLV,0,1,0,,
SLV,0,1,0,,
SLV,0,1,0,,
SLV,0,0,1,3000,1
SLV,0,0,1,3000,1
HND,1,0,0,1200,1
HND,1,0,0,,
HND,1,0,0,,
HND,1,0,0,2132,2
HND,0,0,1,,
HND,1,0,0,,
HND,1,0,0,,
HND,1,0,0,,
HND,1,0,0,,
HND,1,0,0,,
HND,0,0,1,,
HND,1,0,0,1640,2
HND,1,0,0,4920,2
SLV,0,0,1,,
SLV,0,1,0,13000,1
SLV,0,1,0,8000,1
HND,0,0,1,,
GT,0,1,0,10660,3
GT,0,1,0,10530,3
HND,0,0,0,,
HND,1,0,0,4100,2
HND,1,0,0,1435,2
HND,0,0,1,,
HND,1,0,0,,
HND,0,0,1,205,2
HND,0,0,1,,
HND,1,0,0,,
HND,1,0,1,,
HND,1,0,0,,
HND,1,0,0,,
HND,1,0,0,,
HND,1,0,0,,
HND,1,0,0,,
SLV,0,1,0,,
GT,0,1,0,11700,3
HND,0,0,1,,
GT,0,1,0,11700,3
GT,0,1,0,,
GT,0,1,0,,
GT,0,1,0,23.4,3
GT,0,1,0,,
HND,0,1,0,6150,2
HND,1,0,0,3690,2
HND,0,0,1,1435,2
HND,1,0,0,1500,1
HND,1,0,0,1500,1
HND,1,0,0,3000,1
HND,1,0,0,,
GT,0,0,0,,
HND,0,0,1,,
HND,0,0,1,,
HND,0,0,1,,
HND,0,0,1,,
HND,1,0,0,,
HND,1,0,0,,
HND,1,0,0,,
HND,0,1,0,3500,1
GT,0,0,1,,
GT,0,1,0,9750,3
HND,1,0,0,760,1
HND,1,0,0,,
HND,1,0,1,,
HND,1,1,0,,
HND,0,1,1,,
HND,0,0,1,,
HND,0,1,0,8200,2
HND,0,1,0,8200,2
HND,0,1,0,,
HND,0,1,0,8000,1
HND,0,1,0,6000,1
HND,0,1,0,,
HND,0,1,0,,
HND,0,0,1,,
HND,0,0,1,,
HND,0,0,1,,
HND,0,0,1,,
HND,1,0,1,,
HND,0,0,1,,
HND,0,0,1,,
SLV,0,1,0,14000,1
SLV,0,1,0,14000,1
SLV,0,1,0,9000,1
SLV,0,1,0,,
SLV,0,1,0,,
SLV,0,1,0,3500,1
SLV,0,1,0,4000,1
SLV,0,1,0,3000,1
SLV,0,1,0,3000,1
SLV,0,1,0,5500,1
SLV,0,1,0,5000,1
SLV,0,1,0,5000,1
SLV,0,1,0,,
SLV,0,1,0,,
SLV,0,1,0,9000,1
SLV,0,1,0,9000,1
HND,1,0,0,,
HND,0,0,0,4100,2
HND,0,0,0,4100,2
SLV,0,1,0,14000,1
SLV,0,1,0,19000,1
HND,1,0,0,2100,1
SLV,1,0,0,600,1
SLV,0,1,0,15000,1
SLV,0,1,0,10000,1
HND,0,1,0,,
SLV,0,1,0,4000,1
SLV,0,1,0,4000,1
SLV,0,1,0,6000,1
SLV,1,0,0,,
SLV,1,0,0,,
SLV,0,1,0,4000,1
SLV,1,0,0,900,1
SLV,0,1,0,,
SLV,1,0,0,,
SLV,1,0,0,1000,1
HND,1,0,0,,
HND,1,0,0,,
HND,1,0,0,,
HND,0,1,1,6000,1
HND,0,1,1,6000,1
HND,0,1,1,,
HND,1,0,0,,
HND,1,0,0,4920,2
HND,1,0,0,410,2
HND,1,0,0,,
HND,1,0,0,,
HND,0,0,1,,
HND,0,1,0,,
HND,0,1,0,,
HND,0,1,0,400,1
SLV,0,0,1,15000,1
HND,1,0,0,,
HND,1,0,0,,
HND,0,1,0,7000,1
SLV,1,0,0,1000,1
SLV,1,0,0,,
SLV,1,0,0,,
SLV,1,0,0,,
HND,0,1,0,,
HND,0,1,1,12000,1
HND,0,0,1,,
HND,0,0,1,,
SLV,0,1,0,,
SLV,0,1,0,,
SLV,0,1,0,,
SLV,0,1,0,,
HND,0,1,0,40000,1
HND,1,0,0,40000,1
HND,1,0,0,3000,1
HND,1,0,0,3000,1
HND,1,0,0,3000,1
GT,0,1,0,5200,3
GT,0,1,0,,
GT,0,1,0,,
GT,0,1,0,,
GT,0,1,0,,
GT,0,1,0,19.5,3
GT,0,1,0,,
GT,0,1,0,,
GT,0,1,0,,
GT,0,1,0,,
GT,0,0,1,11700,3
GT,0,1,0,5200,3
GT,0,0,1,,
HND,0,1,0,,
HND,0,1,0,8200,2
HND,1,0,0,,
HND,1,0,0,,
HND,1,0,0,,
HND,1,0,0,,
HND,1,0,0,,
HND,1,0,1,,
HND,1,0,0,,
HND,0,0,1,820,2
HND,0,0,1,,
HND,0,0,1,,
HND,0,0,1,,
HND,0,0,1,123,2
HND,0,0,1,143.5,2
HND,0,0,1,,
HND,0,0,1,,
HND,0,0,1,,
HND,0,0,1,,
HND,0,0,1,8000,1
HND,0,0,1,,
HND,0,0,1,143.5,2
GT,0,1,0,4810,3
GT,0,1,0,7150,3
GT,0,1,0,,
GT,0,1,0,6240,3
HND,0,0,1,,
GT,0,1,0,3250,3
HND,1,0,0,,
HND,0,1,0,7000,1
HND,0,0,1,7000,1
GT,0,1,0,4.55,3
GT,0,1,0,15000,1
GT,0,1,0,11050,3
GT,0,1,0,,
GT,0,1,0,7.8,3
HND,1,0,0,4100,2
HND,0,0,1,,
HND,0,0,1,,
HND,0,0,1,,
HND,0,0,1,,
HND,0,0,1,70000,1
HND,0,1,0,,
HND,0,0,1,102.5,2
HND,0,0,1,94.3,2
HND,1,0,0,,
HND,1,0,0,,
HND,1,0,0,,
SLV,1,0,0,,
SLV,1,0,0,,
SLV,0,1,0,14000,1
SLV,1,0,0,1200,1
SLV,1,1,0,15000,1
SLV,1,0,0,,
SLV,0,1,0,,
SLV,0,1,0,,
SLV,0,1,0,,
SLV,0,1,0,,
HND,1,0,0,,
HND,1,0,0,,
HND,1,0,0,,
HND,1,0,0,,
SLV,0,1,0,6000,1
SLV,0,1,0,6000,1
SLV,0,1,0,12000,1
SLV,0,0,1,,
SLV,0,1,0,15000,1
SLV,1,1,0,,
SLV,0,1,0,11000,1
SLV,0,1,0,10000,1
HND,1,0,0,,
HND,1,0,0,,
HND,1,0,0,410,2
HND,1,0,0,615,2
HND,0,0,1,,
HND,0,0,1,,
SLV,1,0,0,11000,1
SLV,1,0,0,14000,1
SLV,1,0,0,8000,1
SLV,0,1,0,12000,1
SLV,0,1,0,8000,1
SLV,0,1,0,10000,1
SLV,0,1,0,16800,1
SLV,0,1,0,6000,1
SLV,0,1,0,9000,1
SLV,0,1,0,6000,1
SLV,0,1,0,11000,1
SLV,0,1,0,6000,1
SLV,0,1,0,7000,1
SLV,0,1,0,5000,1
SLV,0,1,0,,
SLV,0,0,1,,
SLV,1,0,0,,
SLV,0,1,0,3500,1
SLV,0,1,0,3500,1
SLV,0,1,0,2000,1
SLV,0,1,0,3500,1
SLV,0,1,0,8000,1
SLV,0,1,0,4000,1
SLV,0,1,0,4000,1
SLV,1,0,0,,
SLV,1,0,0,,
SLV,0,1,0,11000,1
SLV,1,0,0,,
SLV,0,1,0,,
HND,0,0,1,,
HND,1,0,0,2870,2
HND,0,1,0,6000,1
HND,0,0,0,,
HND,0,0,0,,
SLV,0,1,0,,
SLV,0,1,0,2000,1
SLV,0,1,0,,
SLV,0,1,0,,
SLV,0,1,0,,
SLV,0,1,0,,
SLV,0,1,0,4500,1
SLV,0,1,0,,
SLV,0,1,0,5000,1
SLV,0,0,1,,
SLV,0,1,0,,
SLV,0,1,0,,
HND,1,0,1,,
HND,1,0,1,,
HND,1,0,0,,
HND,1,0,0,,
HND,1,0,0,,
GT,0,1,0,,
GT,0,1,1,8710,3
GT,0,1,0,15.6,3
GT,0,1,0,7800,3
HND,0,0,1,,
HND,0,0,1,1000,1
HND,0,0,1,410,2
HND,0,0,1,205,2
HND,1,0,0,,
HND,1,0,0,,
HND,1,0,0,,
HND,0,0,1,,
HND,1,0,0,,
HND,0,0,1,,
HND,0,1,0,,
GT,0,1,0,4550,3
GT,0,1,0,4550,3
GT,0,1,0,10400,3
GT,1,0,0,,
HND,1,0,0,2870,2
HND,0,1,0,2050,2
HND,1,0,0,2870,2
SLV,1,0,0,,
SLV,0,1,0,11000,1
SLV,0,1,0,12000,1
SLV,1,0,0,,
SLV,1,0,0,300,1
SLV,0,1,0,6000,1
SLV,1,0,0,5000,1
SLV,0,1,0,12000,1
SLV,0,1,0,7000,1
SLV,0,1,0,,
SLV,0,0,1,,
SLV,0,1,0,,
SLV,0,1,0,8600,1
SLV,0,1,0,,
SLV,0,0,1,,
SLV,0,0,1,,
SLV,0,0,1,,
SLV,0,0,1,,
SLV,0,0,1,600,1
SLV,0,0,1,600,1
SLV,0,0,1,600,1
SLV,0,0,1,600,1
SLV,0,1,0,,
SLV,0,1,0,,
SLV,0,1,0,6000,1
SLV,1,0,0,,
SLV,0,0,0,,
SLV,0,1,0,,
SLV,0,1,0,350,1
SLV,1,0,0,,
SLV,0,1,0,10000,1
SLV,0,1,0,,
SLV,0,1,0,,
SLV,1,0,0,12000,1
SLV,0,1,0,5000,1
SLV,0,1,0,8000,1
SLV,0,1,0,6000,1
SLV,0,1,0,0,1
SLV,0,1,0,2500,1
SLV,0,1,0,3000,1
SLV,0,1,0,12000,1
SLV,0,0,0,,
SLV,0,0,0,,
HND,0,0,0,,
HND,0,0,1,,
HND,0,0,1,,
HND,0,0,1,,
HND,0,0,1,,
HND,1,0,0,,
HND,1,0,0,,
GT,0,0,1,2340,3
GT,0,1,1,3900,3
GT,0,1,0,11310,3
HND,0,0,1,,
GT,0,1,0,8645,3
GT,0,0,0,,
GT,0,1,0,,
GT,0,1,0,4810,3
GT,0,1,0,,
GT,0,1,0,5200,3
SLV,1,0,0,1800,1
SLV,1,0,0,,
SLV,0,1,0,4000,1
SLV,0,1,0,4000,1
SLV,0,1,0,4000,1
SLV,0,1,0,10000,1
GT,0,1,0,11050,3
GT,0,1,0,,
SLV,0,1,0,500,1
SLV,0,1,0,500,1
SLV,0,1,0,500,1
SLV,0,1,0,500,1
SLV,1,0,0,1000,1
SLV,0,0,1,,
SLV,1,0,0,800,1
GT,0,1,0,3640,3
GT,0,1,0,3640,3
SLV,0,1,0,10000,1
SLV,0,1,0,,
SLV,0,0,1,,
SLV,0,1,0,,
GT,0,1,0,,
SLV,0,1,0,,
SLV,0,0,1,200,1
SLV,1,0,0,,
SLV,0,0,1,400,1
SLV,0,0,1,400,1
SLV,1,0,0,600,1
SLV,1,0,0,,
SLV,1,0,0,,
SLV,0,1,0,,
GT,0,1,0,11.7,3
GT,0,1,0,19.5,3
GT,0,1,0,9.75,3
GT,0,1,0,6500,3
GT,0,1,0,,
GT,0,1,1,3250,3
SLV,0,1,0,,
GT,0,0,0,11050,3
SLV,0,0,1,,
SLV,1,0,0,,
SLV,1,0,0,,
SLV,1,0,0,2000,1
SLV,0,1,0,,
SLV,0,0,0,,
SLV,1,0,0,2000,1
SLV,1,0,0,600,1
SLV,1,0,0,3000,1
SLV,1,0,0,,
SLV,1,0,0,,
SLV,1,0,0,,
SLV,1,0,0,,
SLV,1,0,0,,
SLV,1,0,0,5000,1
SLV,1,0,0,2400,1
SLV,1,0,0,,
SLV,0,1,0,,
SLV,1,0,0,1200,1
SLV,0,1,0,6000,1
SLV,1,0,0,8000,1
SLV,1,0,0,8000,1
SLV,1,0,0,12000,1
SLV,1,0,0,,
SLV,0,1,0,,
SLV,0,1,0,12000,1
SLV,1,0,0,,
SLV,0,1,0,,
SLV,0,1,0,,
HND,0,0,1,,
HND,0,0,1,,
HND,1,0,0,,
HND,0,0,1,,
